istasyon_no,yil,ay,gun,saat,maksimum_sicaklik_derece
19141,2018,7,11,7,26.5
19141,2018,7,11,8,28.3
19141,2018,7,11,9,29.8
19141,2018,7,11,10,30.9
19141,2018,7,11,11,31.7
19141,2018,7,11,12,32.4
19141,2018,7,11,13,31.9
19141,2018,7,11,14,31.3
19141,2018,7,11,15,30.4
19141,2018,7,11,16,27.9
19141,2018,7,11,17,26.5
19141,2018,7,11,18,25.3
19141,2018,7,11,19,25.1
19141,2018,7,11,20,24.7
19141,2018,7,11,21,24.1
19141,2018,7,11,22,24.1
19141,2018,7,11,23,23.2
19141,2018,7,12,0,23.3
19141,2018,7,12,1,22.7
19141,2018,7,12,2,22.8
19141,2018,7,12,3,22.7
19141,2018,7,12,4,23.3
19141,2018,7,12,5,24.3
19141,2018,7,12,6,26.1
19141,2018,7,12,7,27.5
19141,2018,7,12,8,28.4
19141,2018,7,12,9,29.6
19141,2018,7,12,10,29.6
19141,2018,7,12,11,30.6
19141,2018,7,12,12,30.6
19141,2018,7,12,13,30.7
19141,2018,7,12,14,30.4
19141,2018,7,12,15,29.7
19141,2018,7,12,16,28.6
19141,2018,7,12,17,27.0
19141,2018,7,12,18,25.4
19141,2018,7,12,19,24.5
19141,2018,7,12,20,23.5
19141,2018,7,12,21,22.3
19141,2018,7,12,22,21.5
19141,2018,7,12,23,20.8
19141,2018,7,13,0,20.8
19141,2018,7,13,1,20.7
19141,2018,7,13,2,20.0
19141,2018,7,13,3,17.9
19141,2018,7,13,4,21.8
19141,2018,7,13,5,23.2
19141,2018,7,13,6,24.7
19141,2018,7,13,7,25.9
19141,2018,7,13,8,27.5
19141,2018,7,13,9,29.3
19141,2018,7,13,10,30.3
19141,2018,7,13,11,30.8
19141,2018,7,13,12,30.8
19141,2018,7,13,13,31.0
19141,2018,7,13,14,30.9
19141,2018,7,13,15,30.3
19141,2018,7,13,16,29.3
19141,2018,7,13,17,27.9
19141,2018,7,13,18,26.0
19141,2018,7,13,19,24.4
19141,2018,7,13,20,23.3
19141,2018,7,13,21,22.7
19141,2018,7,13,22,21.9
19141,2018,7,13,23,21.6
19141,2018,7,14,0,20.5
19141,2018,7,14,1,19.5
19141,2018,7,14,2,18.7
19141,2018,7,14,3,19.4
19141,2018,7,14,4,21.1
19141,2018,7,14,5,23.5
19141,2018,7,14,6,25.1
19141,2018,7,14,7,26.4
19141,2018,7,14,8,27.8
19141,2018,7,14,9,29.0
19141,2018,7,14,10,30.5
19141,2018,7,14,11,30.8
19141,2018,7,14,12,22.0
19141,2018,7,14,13,25.8
19141,2018,7,14,14,27.7
19141,2018,7,14,15,27.6
19141,2018,7,14,16,27.5
19141,2018,7,14,17,26.0
19141,2018,7,14,18,24.6
19141,2018,7,14,19,23.6
19141,2018,7,14,20,22.8
19141,2018,7,14,21,22.8
19141,2018,7,14,22,22.4
19141,2018,7,14,23,21.5
19141,2018,7,15,0,20.3
19141,2018,7,15,1,18.8
19141,2018,7,15,2,17.6
19141,2018,7,15,3,17.5
19141,2018,7,15,4,20.9
19141,2018,7,15,5,21.9
19141,2018,7,15,6,24.2
19141,2018,7,15,7,25.5
19141,2018,7,15,8,27.0
19141,2018,7,15,9,28.4
19141,2018,7,15,10,29.6
19141,2018,7,15,11,29.2
19141,2018,7,15,12,28.0
19141,2018,7,15,13,27.6
19141,2018,7,15,14,28.5
19141,2018,7,15,15,28.0
19141,2018,7,15,16,27.1
19141,2018,7,15,17,26.7
19141,2018,7,15,18,24.7
19141,2018,7,15,19,21.6
19141,2018,7,15,20,20.3
19141,2018,7,15,21,19.2
19141,2018,7,15,22,19.2
19141,2018,7,15,23,18.1
19141,2018,7,16,0,16.1
19141,2018,7,16,1,15.6
19141,2018,7,16,2,15.1
19141,2018,7,16,3,14.3
19141,2018,7,16,4,18.8
19141,2018,7,16,5,20.8
19141,2018,7,16,6,23.6
19141,2018,7,16,7,25.7
19141,2018,7,16,8,28.1
19141,2018,7,16,9,29.1
19141,2018,7,16,10,29.3
19141,2018,7,16,11,30.3
19141,2018,7,16,12,30.9
19141,2018,7,16,13,30.9
19141,2018,7,16,14,30.9
19141,2018,7,16,15,29.7
19141,2018,7,16,16,27.8
19141,2018,7,16,17,27.0
19141,2018,7,16,18,25.3
19141,2018,7,16,19,22.4
19141,2018,7,16,20,20.8
19141,2018,7,16,21,19.9
19141,2018,7,16,22,18.6
19141,2018,7,16,23,17.4
19141,2018,7,17,0,16.2
19141,2018,7,17,1,14.9
19141,2018,7,17,2,14.9
19141,2018,7,17,3,14.3
19141,2018,7,17,4,19.1
19141,2018,7,17,5,20.9
19141,2018,7,17,6,24.3
19141,2018,7,17,7,26.6
19141,2018,7,17,8,28.7
19141,2018,7,17,9,29.7
19141,2018,7,17,10,30.8
19141,2018,7,17,11,32.1
19141,2018,7,17,12,32.8
19141,2018,7,17,13,32.9
19141,2018,7,17,14,32.9
19141,2018,7,17,15,32.5
19141,2018,7,17,16,32.2
19141,2018,7,17,17,31.2
19141,2018,7,17,18,29.4
19141,2018,7,17,19,25.4
19141,2018,7,17,20,24.7
19141,2018,7,17,21,23.0
19141,2018,7,17,22,21.2
19141,2018,7,17,23,20.0
19141,2018,7,18,0,19.4
19141,2018,7,18,1,18.8
19141,2018,7,18,2,19.7
19141,2018,7,18,3,20.2
19141,2018,7,18,4,21.2
19141,2018,7,18,5,22.6
19141,2018,7,18,6,24.2
19141,2018,7,18,7,25.7
19141,2018,7,18,8,26.6
19141,2018,7,18,9,27.4
19141,2018,7,18,10,28.5
19141,2018,7,18,11,29.7
19141,2018,7,18,12,30.3
19141,2018,7,18,13,30.0
19141,2018,7,18,14,30.3
19141,2018,7,18,15,29.7
19141,2018,7,18,16,28.6
19141,2018,7,18,17,26.5
19141,2018,7,18,18,25.2
19141,2018,7,18,19,24.6
19141,2018,7,18,20,23.2
19141,2018,7,18,21,21.8
19141,2018,7,18,22,20.3
19141,2018,7,18,23,19.6
19141,2018,7,19,0,18.7
19141,2018,7,19,1,18.2
19141,2018,7,19,2,18.1
19141,2018,7,19,3,17.6
19141,2018,7,19,4,21.0
19141,2018,7,19,5,22.7
19141,2018,7,19,6,25.3
19141,2018,7,19,7,26.4
19141,2018,7,19,8,27.2
19141,2018,7,19,9,28.1
19141,2018,7,19,10,28.6
19141,2018,7,19,11,28.6
19141,2018,7,19,12,27.7
19141,2018,7,19,13,28.2
19141,2018,7,19,14,28.6
19141,2018,7,19,15,28.3
19141,2018,7,19,16,27.7
19141,2018,7,19,17,27.0
19141,2018,7,19,18,25.3
19141,2018,7,19,19,23.3
19141,2018,7,19,20,22.0
19141,2018,7,19,21,21.4
19141,2018,7,19,22,20.5
19141,2018,7,19,23,19.9
19141,2018,7,20,0,18.8
19141,2018,7,20,1,16.9
19141,2018,7,20,2,16.6
19141,2018,7,20,3,17.4
19141,2018,7,20,4,20.3
19141,2018,7,20,5,22.3
19141,2018,7,20,6,24.2
19141,2018,7,20,7,25.2
19141,2018,7,20,8,26.8
19141,2018,7,20,9,27.9
19141,2018,7,20,10,28.4
19141,2018,7,20,11,28.5
19141,2018,7,20,12,28.6
19141,2018,7,20,13,27.2
19141,2018,7,20,14,27.8
19141,2018,7,20,15,27.7
19141,2018,7,20,16,27.8
19141,2018,7,20,17,27.0
19141,2018,7,20,18,25.7
19141,2018,7,20,19,24.6
19141,2018,7,20,20,24.0
19141,2018,7,20,21,22.7
19141,2018,7,20,22,20.6
19141,2018,7,20,23,20.1
19141,2018,7,21,0,19.6
19141,2018,7,21,1,18.2
19141,2018,7,21,2,17.7
19141,2018,7,21,3,18.1
19141,2018,7,21,4,21.1
19141,2018,7,21,5,23.6
19141,2018,7,21,6,24.7
19141,2018,7,21,7,26.9
19141,2018,7,21,8,28.6
19141,2018,7,21,9,29.6
19141,2018,7,21,10,30.7
19141,2018,7,21,11,32.0
19141,2018,7,21,12,32.3
19141,2018,7,21,13,32.4
19141,2018,7,21,14,32.4
19141,2018,7,21,15,30.4
19141,2018,7,21,16,29.3
19141,2018,7,21,17,28.6
19141,2018,7,21,18,27.0
19141,2018,7,21,19,25.1
19141,2018,7,21,20,24.3
19141,2018,7,21,21,23.2
19141,2018,7,21,22,23.0
19141,2018,7,21,23,21.8
19141,2018,7,22,0,19.7
19141,2018,7,22,1,18.8
19141,2018,7,22,2,18.4
19141,2018,7,22,3,17.6
19141,2018,7,22,4,21.6
19141,2018,7,22,5,23.9
19141,2018,7,22,6,26.2
19141,2018,7,22,7,28.4
19141,2018,7,22,8,30.4
19141,2018,7,22,9,30.5
19141,2018,7,22,10,31.7
19141,2018,7,22,11,32.4
19141,2018,7,22,12,33.5
19141,2018,7,22,13,33.5
19141,2018,7,22,14,32.0
19141,2018,7,22,15,31.7
19141,2018,7,22,16,31.1
19141,2018,7,22,17,30.3
19141,2018,7,22,18,28.3
19141,2018,7,22,19,25.4
19141,2018,7,22,20,23.8
19141,2018,7,22,21,23.2
19141,2018,7,22,22,22.7
19141,2018,7,22,23,20.4
19141,2018,7,23,0,18.8
19141,2018,7,23,1,18.2
19141,2018,7,23,2,18.0
19141,2018,7,23,3,17.2
19141,2018,7,23,4,21.2
19141,2018,7,23,5,22.7
19141,2018,7,23,6,26.1
19141,2018,7,23,7,28.9
19141,2018,7,23,8,30.9
19141,2018,7,23,9,33.5
19141,2018,7,23,10,33.8
19141,2018,7,23,11,34.7
19141,2018,7,23,12,35.3
19141,2018,7,23,13,35.6
19141,2018,7,23,14,35.6
19141,2018,7,23,15,34.4
19141,2018,7,23,16,33.8
19141,2018,7,23,17,32.3
19141,2018,7,23,18,30.6
19141,2018,7,23,19,28.5
19141,2018,7,23,20,26.4
19141,2018,7,23,21,25.8
19141,2018,7,23,22,25.5
19141,2018,7,23,23,25.2
19141,2018,7,24,0,23.6
19141,2018,7,24,1,22.5
19141,2018,7,24,2,21.5
19141,2018,7,24,3,21.8
19141,2018,7,24,4,23.4
19141,2018,7,24,5,25.0
19141,2018,7,24,6,25.9
19141,2018,7,24,7,28.3
19141,2018,7,24,8,28.4
19141,2018,7,24,9,24.3
19141,2018,7,24,10,27.0
19141,2018,7,24,11,28.7
19141,2018,7,24,12,28.6
