istasyon_no,yil,ay,gun,saat,saatlik_nispi_nem_yuzde
19141,2018,7,17,7,45.0
19141,2018,7,17,8,38.0
19141,2018,7,17,9,30.0
19141,2018,7,17,10,28.0
19141,2018,7,17,11,26.0
19141,2018,7,17,12,24.0
19141,2018,7,17,13,22.0
19141,2018,7,17,14,23.0
19141,2018,7,17,15,26.0
19141,2018,7,17,16,30.0
19141,2018,7,17,17,32.0
19141,2018,7,17,18,37.0
19141,2018,7,17,19,44.0
19141,2018,7,17,20,46.0
19141,2018,7,17,21,53.0
19141,2018,7,17,22,58.0
19141,2018,7,17,23,61.0
19141,2018,7,18,0,64.0
19141,2018,7,18,1,67.0
19141,2018,7,18,2,69.0
19141,2018,7,18,3,66.0
19141,2018,7,18,4,66.0
19141,2018,7,18,5,61.0
19141,2018,7,18,6,64.0
19141,2018,7,18,7,57.0
19141,2018,7,18,8,52.0
19141,2018,7,18,9,48.0
19141,2018,7,18,10,42.0
19141,2018,7,18,11,42.0
19141,2018,7,18,12,39.0
19141,2018,7,18,13,44.0
19141,2018,7,18,14,40.0
19141,2018,7,18,15,44.0
19141,2018,7,18,16,53.0
19141,2018,7,18,17,56.0
19141,2018,7,18,18,58.0
19141,2018,7,18,19,61.0
19141,2018,7,18,20,68.0
19141,2018,7,18,21,74.0
19141,2018,7,18,22,77.0
19141,2018,7,18,23,83.0
19141,2018,7,19,0,84.0
19141,2018,7,19,1,85.0
19141,2018,7,19,2,86.0
19141,2018,7,19,3,87.0
19141,2018,7,19,4,83.0
19141,2018,7,19,5,72.0
19141,2018,7,19,6,62.0
19141,2018,7,19,7,52.0
19141,2018,7,19,8,45.0
19141,2018,7,19,9,44.0
19141,2018,7,19,10,40.0
19141,2018,7,19,11,41.0
19141,2018,7,19,12,54.0
19141,2018,7,19,13,46.0
19141,2018,7,19,14,40.0
19141,2018,7,19,15,42.0
19141,2018,7,19,16,42.0
19141,2018,7,19,17,40.0
19141,2018,7,19,18,51.0
19141,2018,7,19,19,57.0
19141,2018,7,19,20,60.0
19141,2018,7,19,21,63.0
19141,2018,7,19,22,70.0
19141,2018,7,19,23,66.0
19141,2018,7,20,0,75.0
19141,2018,7,20,1,79.0
